Title,Review,Writer,Category,Update Date
발급도 안되고…억울하네요.,"발급 받으라는대로 여러번 했는데도 발급이 안되어서 포기했습니다.
<br>문자 받은 절차대로 하는데 문자에서는 청년문화패스 홈페이지에서 비밀번호 초기화 후 임시비밀번호를 발급받으라는데 저는 해당 절차에서 인증번호만 주고 비밀번호 재설정 시켜서 했는데 로그인 제한으로 뜹니다.
<br>
<br>날짜가 다 되어서 발급받지도 못하고 괜히 신났다가 억울하기만하네요",성**,2024/1 청년문화패스,2024-06-29
카드발급절차문의,"카드발급이 되지않아서 문의드립니다.신청한 휴대폰명의가 보호자라서 신한솔 앱이 설치가 되지 않네요..

제성민청년이 발달장애인이라서 보호자가 카드발급을 도와야합니다.. 여러번 시도하다가 문의드립니다",제**,2024/1 청년문화패스,2024-06-29
서울시 이사비 지원 덕분에 든든한 생활,"안녕하세요!
충남에 살다가 직장때문에 서울로 이사를 했는데 서울시이사비지원 사업 덕분에 이사도 부담없이 하고 중개비도 내서 너무너무 좋았습니다! 앞으로 청년들을 위한 정책이 많아졌으면 좋겠습니다! 감사합니다!!",이**,2023/1 이사비지원,2024-06-29
선정확인,확인했습니다,김**,2024/1 청년문화패스,2024-06-29
감사합니다,잘쓸게요,표**,2024/1 청년문화패스,2024-06-28
취업으로 이끈 청년수당,안녕하세요. 저는 지난 4월 달부터 청년수당을 받았습니다. 요즘 식비가 되게 비싼데 청년수당 덕분에 식비 걱정없이 지난 몇 개월을 보냈습니다. 그리고 스터디카페 비용도 하루에 거진 만원가까이 되는데 청년수당 덕분에 이 비용도 걱정없이 취업준비를 했습니다. 그 결과 원하는 기업에 취업할 수 있었습니다. 정말 좋은 정책 덕분에 취업준비 생활을 원활히 보낼 수 있었습니다. 정말 감사합니다.,곽**,2024/1 청년수당,2024-06-28
청년수당 수급 후기,청년수당을 통해 보다 나은 취업준비 생활을 할 수 있었습니다. 덕분에 희망하던 기업과 원하는 직무에 합격하여 출근 예정입니다. 감사합니다!,양**,2024/1 청년수당,2024-06-28
청년수당 후기,"청년수당을 지급받다가 7월 15일자로 정규임용이 되어서 기쁩니다

청년수당이 생활에 많은 도움이 됐고 다른 청년들에게도 많은 도움이 될 거라고 생각합니다
대한민국 청년 화이팅!!",이**,2024/1 청년수당,2024-06-28
청년수당 후기 작성,"청년수당 통해 힘든 취업 기감에 많은 도움을 받았습니다. 알바도 그만둬 집에서 취업준비 올인 할 수 있었고, 시험 신청과 책도 구매하여 제대로 준비 할 수 있었습니다. 이러한 기해를 통해 많은 사람들이 도움 받으면서, 스트레스 줄이고 취업 준비 열심히 할 수 있어서 좋은 기회인것같습니다. 다시한번 감사합니다.",장**,2024/1 청년수당,2024-06-28
청년수당 덕분에,청년수당 덕분에 취업 준비하면서 식비 걱정하지 않고 취준에만 전념할 수 있었어요. 감사합니다.,양**,2024/1 청년수당,2024-06-28
후기작성,"청년수당 덕분에 취업준비생 시절 경제적인 어려움을 해결할 수 있었습니다. 식비, 자격증비, 월세 등등 수입이 없는 상태에서 지출하기 어려운 부분들을 청년수당 덕분에 원활히 지출할 수 있었습니다. 감사합니다 :)",이**,2024/1 청년수당,2024-06-28
정말 꼭 필요한 정책,"해당 정책 덕분에 실제 구직활동을 함에 있어 교통비, 식비, 스터디대여비 등등 필수적인 소비 수단들이 지원되기에 정말 실질적인 도움이 되었던 정책이 되었습니다.",양**,2024/1 청년수당,2024-06-28
청년수당 정책 후기,청년수당 2회차까지 받고 공공기관에 인턴으로 취업했습니다. 2회차까지 받은 수당으로 생활비나 취업활동비 등 도움을 많이 받았습니다. 취업성공수당도 따로 있어서 저같은 취업준비생에게 정말 도움이 많이되는 정책인 것 같습니다. 서울시에 다시한번 감사드립니다.,김*,2024/1 청년수당,2024-06-28
청년수당은 저에기 많은 도움을 줬습니다.,힘든 시기에 청년수당 덕분에 생활을 잘 유지했습니다. 덕분에 공부에 많은 도움이 됐습니다. 청년수당은 많은 취준생들에게 희망입니다. 한번더 감사합니다.,이**,2024/1 청년수당,2024-06-28
청년수당 감사합니다,취업하는데 매우 큰 도움이 되었습니다 기회를 주셔서 감사합니다,김**,2024/1 청년수당,2024-06-28
청년마음건강후기,"다음주면 마지막이라서 미리 적는다.
너무 좋은 시간이었다. 나에 대해서 알 수 있었고, 또 더 발전할수 있는 시간이 되서 기뻤다.
서울시 지원에 감사드립니다.",정**,2024/2 청년마음건강,2024-06-28
청년수당 후기,"취업준비를 하면서 항상 돈이 부족했지만 청년수당 50만원 덕분에 잘 버텨낼 수 있었습니다.

취업을 준비하는데 청년수당은 금전적으로도 심리적으로도 많은 도움이 되었습니다.",권**,2024/1 청년수당,2024-06-27
청년수당 수혜 후기,"청년수당제도 덕분에 지치고 힘든 취업 준비 과정을 잘 이겨낼 수 있었습니다. 감사합니다.

월 50만원이라는 금액은 취준생들에게 결코 적지 않은 돈입니다. 아르바이트 할 시간을 줄여 취업 준비에 몰두하게 하여 더 좋은 결과를 낼 수 있었던 것 같습니다.

감사합니다.",윤**,2024/1 청년수당,2024-06-27
청년수당 후기,"취업준비생이라면 정량적인 스펙을 갖추기 위해서 돈이 많이 필요합니다. 예를 들면, 기본으로 갖추어야 하는 영어의 경우, 토익은 약 5만원, 그 외 스피킹 시험은 8만원이 넘습니다. 한 번에 원하는 성적을 받지 못하면 그 비용은 배로 들어가며, 취준생으로서는 부담스럽지 않을 수 없습니다. 그 성적을 받기 위한 강의 수강료 또한 부담스럽습니다.
저는 준비하던 자격증 시험에 계속 떨어졌고 7만원의 응시료가 부담스러워 고민이 많았습니다. 청년수당에 당첨되고 나서, 고민없이 자격증 시험을 신청할 수 있었고 정말 큰 도움이 되었습니다. 청년수당을 사용하여 공부를 하기 위한 스터디카페나 공간 사용에도 무리가 없었습니다. 심리적으로 취업준비에 사용할 수 있는 일정금액이 있다는 것이 취업 성공에 큰 역할을 했다고 생각합니다.
청년수당은 취업준비생에게 큰 힘이 되는 정책입니다. 진심으로 감사드리며, 많은 취업준비생분들 또한 청년수당을 통해 취업에 성공하실 수 있으리라 생각합니다!",박**,2024/1 청년수당,2024-06-27
